"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-01","0.01",,"39","32"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-02","0.00",,"32","17"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-03","0.00",,"23","18"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-04","0.00",,"31","21"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-05","0.00",,"31","22"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-06","0.00",,"34","27"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-07","0.00",,"38","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-08","0.03",,"34","24"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-09","0.00",,"31","19"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-10","0.00",,"29","15"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-11","0.00",,"32","23"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-12","0.00",,"35","25"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-13","0.00",,"36","24"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-14","0.00",,"42","32"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-15","0.00",,"50","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-16","0.00",,"50","39"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-17","0.39",,"45","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-18","0.04",,"48","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-19","0.00",,"48","40"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-20","0.00",,"42","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-21","0.00",,"42","32"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-22","0.00",,"44","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-23","0.00",,"40","29"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-24","0.02",,"48","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-25","1.22",,"56","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-26","0.00",,"47","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-27","0.00",,"40","32"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-28","0.08",,"43","21"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-29","0.00",,"25","17"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-30","0.00",,"20","14"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-01-31","0.00",,"31","15"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-01","0.00",,"36","27"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-02","0.01",,"34","29"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-03","0.08",,"38","28"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-04","0.00",,"38","29"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-05","0.00",,"37","31"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-06","0.00",,"33","22"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-07","0.00",,"35","18"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-08","0.00",,"38","24"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-09","0.00",,"42","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-10","1.04",,"34","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-11","0.00",,"37","28"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-12","0.00",,"38","28"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-13","0.00",,"34","26"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-14","0.00",,"41","29"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-15","0.01",,"41","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-16","0.52",,"33","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-17","0.00",,"34","28"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-18","0.00",,"41","32"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-19","0.00",,"43","32"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-20","0.00",,"45","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-21","0.00",,"46","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-22","0.02",,"44","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-23","0.90",,"38","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-24","0.24",,"39","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-25","1.49",,"35","29"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-26","0.71",,"35","27"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-27","0.00",,"39","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-02-28","0.00",,"41","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-01","0.00",,"48","37"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-02","0.00",,"47","37"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-03","0.04",,"44","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-04","0.00",,"46","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-05","0.00",,"47","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-06","0.00",,"54","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-07","0.00",,"57","39"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-08","0.00",,"59","42"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-09","0.00",,"61","45"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-10","0.00",,"54","40"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-11","0.00",,"47","41"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-12","0.10",,"45","40"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-13","3.15",,"47","39"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-14","0.18",,"49","42"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-15","0.30",,"48","42"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-16","0.00",,"61","43"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-17","0.00",,"66","41"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-18","0.00",,"69","48"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-19","0.00",,"72","45"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-20","0.00",,"74","53"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-21","0.00",,"58","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-22","1.42",,"61","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-23","0.09",,"53","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-24","0.00",,"60","44"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-25","0.01",,"61","45"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-26","0.10",,"54","35"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-27","0.00",,"41","30"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-28","0.29",,"50","36"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-29","1.90",,"53","50"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-30","1.97",,"52","43"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-03-31","0.00",,"57","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-01","0.00",,"70","49"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-02","0.00",,"66","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-03","0.00",,"63","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-04","0.00",,"76","48"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-05","0.00",,"73","53"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-06","0.00",,"77","53"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-07","0.00",,"91","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-08","0.00",,"78","58"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-09","0.20",,"66","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-10","0.00",,"63","44"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-11","0.00",,"76","55"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-12","0.00",,"66","49"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-13","0.00",,"57","50"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-14","0.00",,"67","48"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-15","0.00",,"71","52"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-16","0.23",,"56","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-17","0.00",,"54","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-18","0.00",,"56","43"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-19","0.00",,"61","49"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-20","0.00",,"69","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-21","0.02",,"69","55"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-22","0.00",,"72","53"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-23","0.00",,"67","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-24","0.00",,"68","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-25","1.50",,"55","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-26","0.56",,"54","49"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-27","0.04",,"58","43"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-28","0.00",,"57","42"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-29","0.00",,"70","49"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-04-30","0.00",,"78","58"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-01","0.00",,"83","60"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-02","0.00",,"90","65"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-03","1.45",,"83","67"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-04","0.00",,"82","63"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-05","0.00",,"80","59"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-06","0.00",,"80","58"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-07","0.00",,"73","54"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-08","0.06",,"78","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-09","0.00",,"54","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-10","0.00",,"60","43"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-11","0.02",,"58","48"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-12","0.33",,"50","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-13","0.00",,"70","47"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-14","0.06",,"82","57"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-15","0.00",,"73","61"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-16","0.00",,"72","55"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-17","0.00",,"75","56"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-18","0.95",,"64","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-19","0.00",,"65","52"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-20","0.00",,"83","57"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-21","0.00",,"85","60"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2010-05-22","0.00",,"74","57"
